SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Bitcoin,BTC,11/28/2014 0:00,381.34,360.57,363.59,376.28,3220878.18,8617.15
2,Bitcoin,BTC,11/29/2014 0:00,386.6,372.25,376.42,376.72,2746157.05,7245.19
3,Bitcoin,BTC,11/30/2014 0:00,381.99,373.32,376.57,373.34,1145566.61,3046.33
4,Bitcoin,BTC,12/1/2014 0:00,382.31,373.03,376.4,378.39,2520662.37,6660.56
5,Bitcoin,BTC,12/2/2014 0:00,382.86,375.23,378.39,379.25,2593576.46,6832.53
6,Bitcoin,BTC,12/3/2014 0:00,383,374.23,379.25,376.67,2998357.92,7908.29
7,Bitcoin,BTC,12/4/2014 0:00,378.99,360.01,376.67,365.2,3297896.46,8865.09
8,Bitcoin,BTC,12/5/2014 0:00,377.89,363.99,365.2,374.95,3331762.49,8951.16
9,Bitcoin,BTC,12/6/2014 0:00,376.99,371.31,374.95,375.07,861748.71,2300.21
10,Bitcoin,BTC,12/7/2014 0:00,377.5,373.16,375.07,376.87,913715.62,2429.62
11,Bitcoin,BTC,12/8/2014 0:00,377.45,364.6,376.87,364.61,3655238.4,9920.84
12,Bitcoin,BTC,12/9/2014 0:00,365.48,343.97,364.61,350.49,7376463.45,20940.84
13,Bitcoin,BTC,12/10/2014 0:00,353.74,347.23,350.49,348.13,2304335.87,6579.79
14,Bitcoin,BTC,12/11/2014 0:00,364.43,339.8,348.13,348.98,5842055.01,16533.38
15,Bitcoin,BTC,12/12/2014 0:00,358.59,348,348.98,354.48,2846451.59,8039.95
16,Bitcoin,BTC,12/13/2014 0:00,354.95,347.03,354.48,351.45,1359211.39,3880.75
17,Bitcoin,BTC,12/14/2014 0:00,351.98,348.96,351.45,350.17,196831.56,561.33
18,Bitcoin,BTC,12/15/2014 0:00,350.17,350.17,350.17,350.17,0,0
19,Bitcoin,BTC,12/16/2014 0:00,350.17,330,350.17,330.02,1902071.15,5677.83
20,Bitcoin,BTC,12/17/2014 0:00,335.99,315.23,331.56,321.1,7586686.22,23478.02
21,Bitcoin,BTC,12/18/2014 0:00,325.61,304.99,321.32,312.17,6788858.09,21637.58
22,Bitcoin,BTC,12/19/2014 0:00,320,307.11,310.48,318,4999167.76,15958.56
23,Bitcoin,BTC,12/20/2014 0:00,333,316.52,317.23,329.99,3617196.63,11146.4
24,Bitcoin,BTC,12/21/2014 0:00,332.98,318.78,332.58,323.15,2114707.57,6510
25,Bitcoin,BTC,12/22/2014 0:00,333.99,319.9,322.24,330.52,3821126,11646.6
26,Bitcoin,BTC,12/23/2014 0:00,338.99,327.49,330.52,335.49,2604314.14,7804.03
27,Bitcoin,BTC,12/24/2014 0:00,337,320.92,337,322.14,1826465.31,5544.8
28,Bitcoin,BTC,12/25/2014 0:00,324.23,316.63,320.92,319.39,1255322.02,3924.9
29,Bitcoin,BTC,12/26/2014 0:00,332,316.64,319,330.88,2066944.34,6347.26
30,Bitcoin,BTC,12/27/2014 0:00,330.97,311.63,330.97,315.89,2747753.48,8639.54
31,Bitcoin,BTC,12/28/2014 0:00,319.56,311.22,315.89,316.63,1288906.81,4089.61
32,Bitcoin,BTC,12/29/2014 0:00,320.14,311.61,316.63,314.78,1859591.78,5901.06
33,Bitcoin,BTC,12/30/2014 0:00,316.77,310,314.78,311.94,3091941.68,9894.24
34,Bitcoin,BTC,12/31/2014 0:00,320,310.69,311.94,319.25,1925334.88,6097.71
35,Bitcoin,BTC,1/1/2015 0:00,321,312.6,319.25,316.31,1018388.35,3223.06
36,Bitcoin,BTC,1/2/2015 0:00,317.01,311.96,316.31,316.51,1093571.94,3472.05
37,Bitcoin,BTC,1/3/2015 0:00,316.58,285,316.51,286.01,6078845.04,20350.46
38,Bitcoin,BTC,1/4/2015 0:00,289.81,255,286.01,264.62,11614560.04,42650.57
39,Bitcoin,BTC,1/5/2015 0:00,280,262.94,264.62,276.8,2655979.12,9752.08
40,Bitcoin,BTC,1/6/2015 0:00,276.8,276.8,276.8,276.8,0,0
41,Bitcoin,BTC,1/7/2015 0:00,276.8,276.8,276.8,276.8,0,0
42,Bitcoin,BTC,1/8/2015 0:00,276.8,276.8,276.8,276.8,0,0
43,Bitcoin,BTC,1/9/2015 0:00,276.8,276.8,276.8,276.8,0,0
44,Bitcoin,BTC,1/10/2015 0:00,276.8,276.8,276.8,276.8,0,0
45,Bitcoin,BTC,1/11/2015 0:00,276.8,276.8,276.8,276.8,0,0
46,Bitcoin,BTC,1/12/2015 0:00,272.43,263.54,270.4,268.16,2133679.78,7909.25
47,Bitcoin,BTC,1/13/2015 0:00,268.72,216,268.16,221,13652228.51,57653.9
48,Bitcoin,BTC,1/14/2015 0:00,230.89,152.4,221,162,23647658.54,123599.76
49,Bitcoin,BTC,1/15/2015 0:00,233.9,161.1,162,208.81,17721319.5,86158.17
50,Bitcoin,BTC,1/16/2015 0:00,223.15,198.04,214.77,206.6,7308109.72,34657.09
51,Bitcoin,BTC,1/17/2015 0:00,212.84,192.17,206.6,200.1,4007435.83,19933.78
52,Bitcoin,BTC,1/18/2015 0:00,222,195.02,200.1,211.42,3816641.51,18205.49
53,Bitcoin,BTC,1/19/2015 0:00,220.94,207.7,210.05,216.88,2729178.12,12796.47
54,Bitcoin,BTC,1/20/2015 0:00,217.84,201.98,217.84,211.08,2998319.48,14234.73
55,Bitcoin,BTC,1/21/2015 0:00,228.9,205,211.08,228.59,4937625.47,22796.06
56,Bitcoin,BTC,1/22/2015 0:00,239,226.01,228.59,233,6003089.46,25809.37
57,Bitcoin,BTC,1/23/2015 0:00,240,225.55,233,233.03,3539626.61,15246.43
58,Bitcoin,BTC,1/24/2015 0:00,249.99,230.03,233.03,249.99,3297573.46,13633.14
59,Bitcoin,BTC,1/25/2015 0:00,257,241.33,249.99,253.09,7019125.49,28139.7
60,Bitcoin,BTC,1/26/2015 0:00,309.9,253.09,253.09,269.5,15614774.92,55355.5
61,Bitcoin,BTC,1/27/2015 0:00,278.51,243.1,269.5,262.99,5501345.88,21293.57
62,Bitcoin,BTC,1/28/2015 0:00,266.45,225.91,262.99,236.2,6774004.56,27595.15
63,Bitcoin,BTC,1/29/2015 0:00,242.18,220,236.2,234.75,6076004.2,26178.79
64,Bitcoin,BTC,1/30/2015 0:00,244.98,227.26,234.75,232.6,4653564.37,19832.17
65,Bitcoin,BTC,1/31/2015 0:00,234.8,215.75,232.6,217.98,4494529.82,19706.27
66,Bitcoin,BTC,2/1/2015 0:00,220.81,208.48,217.98,214.8,1336586.85,6189.01
67,Bitcoin,BTC,2/2/2015 0:00,241.98,214.8,214.8,237.97,1494778.57,6423.56
68,Bitcoin,BTC,2/3/2015 0:00,244.39,223.79,237.97,227.35,4178199.28,17756.67
69,Bitcoin,BTC,2/4/2015 0:00,231,220.02,227.35,227,3220391.1,14313.23
70,Bitcoin,BTC,2/5/2015 0:00,228.94,213.64,227,217,953936.47,4314.11
71,Bitcoin,BTC,2/6/2015 0:00,225.86,214.95,216.81,222.88,1044545.84,4730.33
72,Bitcoin,BTC,2/7/2015 0:00,231.14,221.77,223.37,228.61,1444459.22,6356.04
73,Bitcoin,BTC,2/8/2015 0:00,232.89,219.7,228.3,224.19,1232858.74,5456.94
74,Bitcoin,BTC,2/9/2015 0:00,225.99,215,224.19,220.72,4277024.95,19478.94
75,Bitcoin,BTC,2/10/2015 0:00,222,215,220.72,220.95,1385375.22,6332.22
76,Bitcoin,BTC,2/11/2015 0:00,223.43,217.99,220.95,219.12,2057106.38,9298.5
77,Bitcoin,BTC,2/12/2015 0:00,223.07,218.17,219.55,222.46,886601.16,4010.23
78,Bitcoin,BTC,2/13/2015 0:00,242.35,221.37,223,236.86,1895018.31,8077.55
79,Bitcoin,BTC,2/14/2015 0:00,259.31,236.9,237,257.9,2698932.39,10813.61
80,Bitcoin,BTC,2/15/2015 0:00,265.89,227.75,256.99,234.01,4533254.41,18474.58
81,Bitcoin,BTC,2/16/2015 0:00,241.23,229.2,234.01,236.55,2907774.51,12321.08
82,Bitcoin,BTC,2/17/2015 0:00,248.78,232.01,236.55,244.96,2871937.78,11898.41
83,Bitcoin,BTC,2/18/2015 0:00,247,232.24,244.96,235.79,1626634.28,6766.05
84,Bitcoin,BTC,2/19/2015 0:00,245.01,235.66,237.37,242.67,1138295.79,4730.24
85,Bitcoin,BTC,2/20/2015 0:00,248.96,239.41,240.59,246.1,1115548.64,4559.19
86,Bitcoin,BTC,2/21/2015 0:00,247.48,244,245.48,245.87,381377.02,1553.36
87,Bitcoin,BTC,2/22/2015 0:00,247.42,232.48,245.41,236.68,1598342.42,6739.67
88,Bitcoin,BTC,2/23/2015 0:00,240.66,232.05,236.68,238.92,873272.09,3706.77
89,Bitcoin,BTC,2/24/2015 0:00,240.88,236.3,239.65,239.69,580503.8,2430.95
90,Bitcoin,BTC,2/25/2015 0:00,240.61,236,239.94,238,413399.21,1735.6
91,Bitcoin,BTC,2/26/2015 0:00,238.55,234.01,237.97,236.7,826644.88,3498.78
92,Bitcoin,BTC,2/27/2015 0:00,256.15,236.16,236.7,253.06,5507719.94,22016.89
93,Bitcoin,BTC,2/28/2015 0:00,254.29,245.2,253.06,252.98,906874.89,3613.22
94,Bitcoin,BTC,3/1/2015 0:00,260,245,253.47,255.81,1275703.25,5062.1
95,Bitcoin,BTC,3/2/2015 0:00,274.81,256,258.34,274,2598170.67,9781.93
96,Bitcoin,BTC,3/3/2015 0:00,284.95,265.89,274,279,6104061.68,22213.49
97,Bitcoin,BTC,3/4/2015 0:00,283.88,264.94,279,269.83,3934109.59,14281.76
98,Bitcoin,BTC,3/5/2015 0:00,280.5,262.2,269.83,273.8,3070426.12,11360.44
99,Bitcoin,BTC,3/6/2015 0:00,276.46,269,273.8,273.26,1907509.64,6996.36
100,Bitcoin,BTC,3/7/2015 0:00,279.48,270,273.26,275.59,1540760.07,5605.63
101,Bitcoin,BTC,3/8/2015 0:00,277.59,271.12,275.59,274.89,1223277.71,4455.34
102,Bitcoin,BTC,3/9/2015 0:00,289,274.17,274.89,287,3389556.2,11984.22
103,Bitcoin,BTC,3/10/2015 0:00,296.8,283.96,287,290.24,3744249.17,12857.02
104,Bitcoin,BTC,3/11/2015 0:00,296.74,285.83,290.24,295.11,1979535.16,6784.55
105,Bitcoin,BTC,3/12/2015 0:00,297.95,289,295.11,295.56,2399612.33,8145.87
106,Bitcoin,BTC,3/13/2015 0:00,295.84,282.99,295.56,284.4,2654225.31,9178.74
107,Bitcoin,BTC,3/14/2015 0:00,287.69,280.46,284.4,282.7,1595106.71,5616.62
108,Bitcoin,BTC,3/15/2015 0:00,287.75,281.42,282.7,286.4,691987.13,2426.65
109,Bitcoin,BTC,3/16/2015 0:00,294.26,285.78,286.4,289.7,1882414.82,6473.86
110,Bitcoin,BTC,3/17/2015 0:00,292.99,281.9,289.7,284.46,1864637.8,6470.43
111,Bitcoin,BTC,3/18/2015 0:00,284.48,249.02,284.46,257.29,5650707.75,21120.78
112,Bitcoin,BTC,3/19/2015 0:00,265.95,249,257.29,262.01,3808281.05,14750.19
113,Bitcoin,BTC,3/20/2015 0:00,265.27,257,262.01,262.09,1482272.82,5683.15
114,Bitcoin,BTC,3/21/2015 0:00,262.62,256.25,262.09,259.8,1199360.1,4622.93
115,Bitcoin,BTC,3/22/2015 0:00,272,259.24,259.8,269.39,1512162.68,5709.7
116,Bitcoin,BTC,3/23/2015 0:00,270.07,259.5,269.39,265.84,2367965.68,8901.07
117,Bitcoin,BTC,3/24/2015 0:00,266.52,241.84,265.84,246.93,4404982.22,17591.02
118,Bitcoin,BTC,3/25/2015 0:00,250,236.4,246.93,247.68,3276219,13448.56
119,Bitcoin,BTC,3/26/2015 0:00,253.75,244.91,247.68,249.46,2105838.57,8403.54
120,Bitcoin,BTC,3/27/2015 0:00,250.52,245.12,249.46,248.09,1449279.37,5845.29
121,Bitcoin,BTC,3/28/2015 0:00,253.83,247.17,248.09,252.31,1492447.63,5943.83
122,Bitcoin,BTC,3/29/2015 0:00,252.96,239.96,252.31,242.19,1608836.03,6591.6
123,Bitcoin,BTC,3/30/2015 0:00,248.86,236.52,242.19,247.69,1929807.46,7880.41
124,Bitcoin,BTC,3/31/2015 0:00,248.59,238.55,247.69,243.98,1993776.43,8180.68
125,Bitcoin,BTC,4/1/2015 0:00,246.83,239.32,243.98,245.98,1484287.63,6106.97
126,Bitcoin,BTC,4/2/2015 0:00,256.96,244.52,245.98,253.16,2471179.83,9880.07
127,Bitcoin,BTC,4/3/2015 0:00,256.67,251.23,253.16,253.79,1286655.62,5062.49
128,Bitcoin,BTC,4/4/2015 0:00,255.85,250.76,253.79,253.45,652406.55,2579.58
129,Bitcoin,BTC,4/5/2015 0:00,261,251.65,253.45,260.5,1491248.36,5807.32
130,Bitcoin,BTC,4/6/2015 0:00,262.98,254,260.5,255.83,1543244.68,5989.94
131,Bitcoin,BTC,4/7/2015 0:00,256.62,251.5,255.83,254.45,1522986.5,5990.22
132,Bitcoin,BTC,4/8/2015 0:00,254.96,243.06,254.45,244.09,2875251.66,11647.96
133,Bitcoin,BTC,4/9/2015 0:00,246.3,238.47,244.09,243.53,1944122.48,7990.92
134,Bitcoin,BTC,4/10/2015 0:00,243.94,231,243.53,234.77,2722903.56,11525.77
